Bioactivity_ID,Aid_Type,Activity,Protein_Accession,Activity_Type,Activity_Qualifier,Bioassay_Data_Source,BioAssay_Name,Compound_Name,Target_Name,Target_Link,ECs,Representative_Protein_Accession,Cell_ID,Anatomy,dois,pmcids,pclids,citations,BioAssay_AID,Substance_SID,Compound_CID,refsid,Gene_ID,PMID,Last_Modified_Date,Has_Dose_Response_Curve,RNAi_BioAssay,Activity_Value,Taxonomy_ID,Target_Taxonomy_ID,Anatomy_ID
351735625,Summary,Unspecified,ADZ17378,,,Tox21,qHTS assay to identify small molecule agonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library: Summary,1-Amino-2-propanol,ESRRA - estrogen related receptor alpha (human),/gene/2101,,P11474,54,,,,,,1259402,144212021,4,,2101,,20180322,0,0,,9606,,
345772635,Confirmatory,Unspecified,,Potency,,Tox21,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 40 hour,1-Amino-2-propanol,,,,,45,,,,,,1224871,144212021,4,,,,20160908,1,0,,,,
369510250,Confirmatory,Unspecified,,Potency,,Tox21,Cytochrome P450 Family 3 Subfamily A Member 4 (CYP3A4) small molecule antagonists: luciferase reporter qHTS assay,1-Amino-2-propanol,CYP3A4 - cytochrome P450 family 3 subfamily A member 4 (human),/gene/1576,,,,,,,,,1671201,144212021,4,,1576,,20210929,1,0,,9606,,
345824415,Confirmatory,Unspecified,,Potency,,Tox21,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HepG2 cells - 0 hour,1-Amino-2-propanol,,,,,27,,,,,,1224882,144212021,4,,,,20160908,1,0,,,,
369416689,Confirmatory,Unspecified,,Potency,,Tox21,Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay,1-Amino-2-propanol,CYP2D6 - cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene) (human),/gene/1565,,,,,,,,,1671196,144212021,4,,1565,,20210929,1,0,,9606,,
333870154,Summary,Unspecified,ADP91253,Potency,,Tox21,qHTS assay to identify small molecule agonists of the glucocorticoid receptor (GR) signaling pathway: Summary,1-Amino-2-propanol,NR3C1 - nuclear receptor subfamily 3 group C member 1 (human),/gene/2908,,P04150,,,,,,,720719,144212021,4,,2908,,20140820,0,0,,9606,,
345779202,Confirmatory,Unspecified,,Potency,,Tox21,qHTS RealTime-Glo MT Cell Viability Assay in HepG2 cells - 16 hour,1-Amino-2-propanol,,,,,27,,,,,,1224885,144212021,4,,,,20160908,1,0,,,,
369422449,Confirmatory,Unspecified,AAV41877,Potency,,Tox21,Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay,1-Amino-2-propanol,CYP2C19 - cytochrome P450 family 2 subfamily C member 19 (human),/gene/1557,,P33261,,,,,,,1671197,144212021,4,,1557,,20210929,1,0,,9606,,
333885535,Summary,Unspecified,ADP91253,,,Tox21,qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway: Summary,1-Amino-2-propanol,NR3C1 - nuclear receptor subfamily 3 group C member 1 (human),/gene/2908,,P04150,,,,,,,720725,144212021,4,,2908,,20140820,0,0,,9606,,
361786206,Confirmatory,Unspecified,,Potency,,Tox21,Acetylcholinesterase (AChE) small molecule antagonists: enzyme-based qHTS assay,1-Amino-2-propanol,ACHE - acetylcholinesterase (Yt blood group) (human),/gene/43,,,,,,,,,1347397,144212021,4,,43,,20200220,1,0,,9606,,
